Date,Price,Open,High,Low,Vol.,Change %
10/15/2009,99.87,99.87,99.87,99.87,2.57K,0.00%
10/14/2009,99.87,99.87,99.87,99.86,1.58K,0.00%
10/13/2009,99.87,99.87,99.87,99.87,0.89K,0.00%
10/12/2009,99.87,99.87,99.87,99.86,0.20K,0.00%
10/9/2009,99.87,99.87,99.87,99.86,4.29K,0.00%
10/8/2009,99.87,99.87,99.87,99.86,1.11K,0.01%
10/7/2009,99.86,99.87,99.87,99.86,2.65K,0.00%
10/6/2009,99.86,99.86,99.86,99.86,0.95K,0.00%
10/5/2009,99.86,99.86,99.87,99.86,4.01K,0.00%
10/2/2009,99.86,99.86,99.88,99.86,7.07K,0.00%
10/1/2009,99.86,99.86,99.86,99.86,4.94K,0.01%
9/30/2009,99.85,99.85,99.86,99.85,10.51K,0.00%
9/29/2009,99.85,99.85,99.85,99.85,1.65K,0.00%
9/28/2009,99.85,99.85,99.85,99.85,2.99K,0.01%
9/25/2009,99.84,99.84,99.85,99.84,1.66K,0.00%
9/24/2009,99.84,99.84,99.84,99.84,0.96K,0.00%
9/23/2009,99.84,99.84,99.84,99.84,2.30K,0.00%
9/22/2009,99.84,99.84,99.84,99.84,2.98K,0.00%
9/21/2009,99.84,99.84,99.84,99.84,1.23K,0.00%
9/18/2009,99.84,99.84,99.84,99.84,1.64K,0.00%
9/17/2009,99.84,99.84,99.84,99.83,2.89K,0.00%
9/16/2009,99.84,99.84,99.84,99.84,5.99K,0.00%
9/15/2009,99.84,99.84,99.84,99.84,5.84K,0.00%
9/14/2009,99.84,99.84,99.84,99.84,2.96K,0.00%
9/11/2009,99.84,99.85,99.85,99.84,2.75K,0.00%
9/10/2009,99.84,99.84,99.85,99.84,1.03K,0.00%
9/9/2009,99.84,99.84,99.85,99.84,0.63K,0.00%
9/8/2009,99.84,99.83,99.84,99.83,1.05K,0.00%
9/4/2009,99.84,99.83,99.84,99.83,1.29K,0.01%
9/3/2009,99.83,99.83,99.84,99.83,1.03K,0.00%
9/2/2009,99.83,99.83,99.84,99.83,0.74K,0.00%
9/1/2009,99.83,99.83,99.84,99.83,5.22K,-0.01%
8/31/2009,99.84,99.84,99.84,99.84,1.53K,0.00%
8/28/2009,99.84,99.84,99.84,99.83,4.36K,0.01%
8/27/2009,99.83,99.83,99.84,99.83,0.97K,0.00%
8/26/2009,99.83,99.83,99.84,99.83,0.74K,0.00%
8/25/2009,99.83,99.83,99.83,99.83,0.18K,0.00%
8/24/2009,99.83,99.83,99.83,99.83,1.32K,0.00%
8/21/2009,99.83,99.83,99.83,99.83,0.92K,0.00%
8/20/2009,99.83,99.83,99.83,99.83,0.97K,0.00%
8/19/2009,99.83,99.83,99.84,99.83,2.94K,-0.01%
8/18/2009,99.84,99.83,99.84,99.83,1.11K,0.00%
8/17/2009,99.84,99.84,99.84,99.83,2.88K,0.00%
8/14/2009,99.84,99.83,99.84,99.83,2.63K,0.01%
8/13/2009,99.83,99.83,99.84,99.83,3.47K,0.00%
8/12/2009,99.83,99.83,99.83,99.83,2.81K,0.00%
8/11/2009,99.83,99.83,99.83,99.83,1.65K,0.00%
8/10/2009,99.83,99.83,99.83,99.83,2.15K,0.01%
8/7/2009,99.82,99.82,99.83,99.82,2.14K,0.00%
8/6/2009,99.82,99.82,99.83,99.82,1.09K,0.00%
8/5/2009,99.82,99.82,99.82,99.82,1.43K,0.00%
8/4/2009,99.82,99.82,99.82,99.81,2.83K,0.01%
8/3/2009,99.81,99.81,99.82,99.81,4.44K,-0.03%
7/31/2009,99.84,99.84,99.84,99.84,,0.00%
7/30/2009,99.84,99.84,99.84,99.84,0.94K,0.00%
7/29/2009,99.84,99.84,99.84,99.84,0.79K,0.00%
7/28/2009,99.84,99.84,99.84,99.84,1.64K,0.00%
7/27/2009,99.84,99.84,99.84,99.84,4.10K,0.00%
7/24/2009,99.84,99.84,99.84,99.84,2.57K,0.00%
7/23/2009,99.84,99.84,99.84,99.84,1.64K,0.00%
7/22/2009,99.84,99.84,99.84,99.84,0.91K,0.00%
7/21/2009,99.84,99.84,99.84,99.84,2.86K,0.00%
7/20/2009,99.84,99.84,99.84,99.83,0.74K,0.01%
7/17/2009,99.83,99.84,99.84,99.83,0.68K,0.00%
7/16/2009,99.83,99.83,99.84,99.83,2.81K,0.00%
7/15/2009,99.83,99.83,99.83,99.83,1.11K,0.00%
7/14/2009,99.83,99.83,99.83,99.83,4.51K,0.00%
7/13/2009,99.83,99.83,99.83,99.83,2.36K,0.01%
7/10/2009,99.82,99.82,99.83,99.82,3.45K,0.00%
7/9/2009,99.82,99.81,99.82,99.81,0.75K,0.01%
7/8/2009,99.81,99.81,99.82,99.81,2.72K,0.00%
7/7/2009,99.81,99.82,99.82,99.81,3.13K,0.00%
7/6/2009,99.81,99.81,99.82,99.81,3.10K,0.01%
7/2/2009,99.8,99.8,99.81,99.8,3.19K,0.01%
7/1/2009,99.79,99.8,99.81,99.79,3.71K,-0.01%
6/30/2009,99.8,99.8,99.8,99.8,0.11K,0.00%
6/29/2009,99.8,99.8,99.8,99.79,0.80K,0.00%
6/26/2009,99.8,99.8,99.8,99.8,0.81K,0.00%
6/25/2009,99.8,99.79,99.8,99.79,2.32K,0.02%
6/24/2009,99.78,99.78,99.79,99.78,0.43K,0.00%
6/23/2009,99.78,99.78,99.78,99.78,0.80K,0.00%
6/22/2009,99.78,99.78,99.78,99.78,1.81K,0.00%
6/19/2009,99.78,99.78,99.78,99.78,4.98K,0.00%
6/18/2009,99.78,99.8,99.8,99.78,8.01K,-0.02%
6/17/2009,99.8,99.8,99.8,99.79,3.43K,0.00%
6/16/2009,99.8,99.8,99.81,99.8,2.93K,-0.01%
6/15/2009,99.81,99.81,99.81,99.81,3.01K,0.00%
6/12/2009,99.81,99.8,99.81,99.8,4.86K,0.01%
6/11/2009,99.8,99.8,99.8,99.8,2.22K,0.01%
6/10/2009,99.79,99.8,99.8,99.79,4.60K,0.00%
6/9/2009,99.79,99.78,99.79,99.78,5.72K,0.01%
6/8/2009,99.78,99.79,99.79,99.78,6.22K,-0.01%
6/5/2009,99.79,99.79,99.79,99.78,4.82K,0.00%
6/4/2009,99.79,99.8,99.8,99.79,7.88K,-0.01%
6/3/2009,99.8,99.81,99.81,99.8,4.48K,-0.01%
6/2/2009,99.81,99.8,99.81,99.8,8.70K,0.00%
6/1/2009,99.81,99.81,99.82,99.81,5.02K,-0.01%
5/29/2009,99.82,99.82,99.83,99.82,,0.00%
5/28/2009,99.82,99.82,99.82,99.82,5.14K,0.00%
5/27/2009,99.82,99.82,99.82,99.82,2.24K,0.00%
5/26/2009,99.82,99.81,99.82,99.81,2.44K,0.00%
5/22/2009,99.82,99.82,99.82,99.82,0.75K,0.00%
5/21/2009,99.82,99.82,99.82,99.81,5.57K,0.00%
5/20/2009,99.82,99.82,99.82,99.81,3.68K,0.01%
5/19/2009,99.81,99.81,99.82,99.81,5.64K,0.00%
5/18/2009,99.81,99.81,99.82,99.81,1.23K,0.00%
5/15/2009,99.81,99.82,99.82,99.81,1.23K,0.00%
5/14/2009,99.81,99.82,99.82,99.81,6.55K,0.00%
5/13/2009,99.81,99.81,99.82,99.81,3.64K,0.00%
5/12/2009,99.81,99.81,99.81,99.81,6.59K,0.00%
5/11/2009,99.81,99.81,99.81,99.81,,0.00%
5/8/2009,99.81,99.8,99.81,99.8,3.90K,0.01%
5/7/2009,99.8,99.8,99.8,99.8,5.29K,0.00%
5/6/2009,99.8,99.8,99.8,99.8,7.29K,0.00%
5/5/2009,99.8,99.8,99.8,99.8,8.96K,0.01%
5/4/2009,99.79,99.79,99.8,99.78,7.36K,0.00%
5/1/2009,99.79,99.82,99.83,99.78,11.55K,-0.06%
4/30/2009,99.85,99.85,99.85,99.85,4.03K,0.00%
4/29/2009,99.85,99.85,99.85,99.85,4.28K,0.00%
4/28/2009,99.85,99.85,99.85,99.85,3.91K,0.00%
4/27/2009,99.85,99.85,99.85,99.85,3.17K,0.01%
4/24/2009,99.84,99.84,99.85,99.84,1.39K,0.00%
4/23/2009,99.84,99.85,99.85,99.84,4.16K,-0.01%
4/22/2009,99.85,99.85,99.85,99.84,1.64K,0.00%
4/21/2009,99.85,99.84,99.85,99.84,1.53K,0.01%
4/20/2009,99.84,99.84,99.85,99.84,5.21K,0.00%
4/17/2009,99.84,99.84,99.84,99.84,4.67K,0.00%
4/16/2009,99.84,99.84,99.84,99.84,3.20K,0.00%
4/15/2009,99.84,99.84,99.84,99.83,6.22K,0.00%
4/14/2009,99.84,99.83,99.84,99.83,3.47K,0.01%
4/13/2009,99.83,99.83,99.83,99.83,3.57K,0.00%
4/9/2009,99.83,99.83,99.84,99.83,4.45K,0.00%
4/8/2009,99.83,99.83,99.83,99.83,1.71K,0.00%
4/7/2009,99.83,99.83,99.84,99.83,9.59K,0.01%
4/6/2009,99.82,99.81,99.83,99.81,7.37K,0.01%
4/3/2009,99.81,99.81,99.82,99.81,13.42K,0.00%
4/2/2009,99.81,99.81,99.81,99.81,4.09K,0.01%
4/1/2009,99.8,99.8,99.81,99.8,7.95K,-0.02%
3/31/2009,99.82,99.81,99.82,99.81,2.50K,0.00%
3/30/2009,99.82,99.82,99.82,99.81,1.07K,0.01%
3/27/2009,99.81,99.81,99.82,99.81,3.21K,0.00%
3/26/2009,99.81,99.81,99.81,99.81,2.12K,0.01%
3/25/2009,99.8,99.81,99.81,99.8,2.62K,0.00%
3/24/2009,99.8,99.8,99.81,99.8,5.85K,0.00%
3/23/2009,99.8,99.81,99.81,99.8,0.56K,0.00%
3/20/2009,99.8,99.8,99.81,99.8,1.03K,0.00%
3/19/2009,99.8,99.8,99.81,99.8,4.54K,0.00%
3/18/2009,99.8,99.8,99.8,99.8,2.42K,0.00%
3/17/2009,99.8,99.8,99.81,99.8,8.58K,0.00%
3/16/2009,99.8,99.8,99.81,99.8,3.39K,0.00%
3/13/2009,99.8,99.78,99.81,99.78,6.49K,0.02%
3/12/2009,99.78,99.78,99.79,99.78,2.22K,0.00%
3/11/2009,99.78,99.77,99.78,99.77,3.26K,0.01%
3/10/2009,99.77,99.77,99.78,99.77,2.81K,0.00%
3/9/2009,99.77,99.77,99.78,99.77,3.84K,0.00%
3/6/2009,99.77,99.78,99.78,99.77,5.21K,0.00%
3/5/2009,99.77,99.78,99.78,99.77,1.86K,0.00%
3/4/2009,99.77,99.77,99.78,99.77,2.61K,0.00%
3/3/2009,99.77,99.77,99.77,99.77,4.42K,0.00%
3/2/2009,99.77,99.77,99.77,99.76,6.78K,-0.01%
2/27/2009,99.78,99.78,99.78,99.78,,0.00%
2/26/2009,99.78,99.78,99.78,99.78,0.20K,0.00%
2/25/2009,99.78,99.78,99.78,99.78,2.26K,0.00%
2/24/2009,99.78,99.78,99.78,99.77,2.91K,0.00%
